giturl,commit,user,timestamp,benchmark,machine,repetition,test,result
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"af-alg",22815.051496
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"atomic",523561.134675
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"bigheap",10795.450209
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"brk",108898.153056
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"bsearch",170.120984
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"cache",20.699847
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"cpu",71.613072
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"crypt",73.006866
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"full",77948.992922
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"heapsort",1.799951
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"hsearch",1175.293415
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"icache",374.085453
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"lockbus",1073484.26519
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"longjmp",46599.707754
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"lsearch",4.300021
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"malloc",710861.532451
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"matrix",2084.812476
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"memcpy",97.628399
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"mincore",21280.012633
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"mmap",0.298392
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"mremap",7.197671
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"msync",12.927607
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"nop",90971.644631
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,,109641.729372
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"numa",18.050986
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"oom-pipe",0
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"opcode",990.676617
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"qsort",3.699916
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"remap",355.011431
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"resources",1227.592925
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"rmap",289.169305
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"shm",42.982898
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"shm-sysv",396.740692
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"stack",0
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"stackmmap",0.499292
git@github.com:ivotron/clapp-popper,c2cc504,ivo,1512873230,stressng,issdm-41,5,"str",5446.337007
